date,open,high,low,close,volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,switch_komu,price_action,previous_price_action,predicted_trend
2024-05-12,60793.504,61818.156,60632.602,61448.395,13800459405.0,,,,,61448.395,0,,0.0,Neutral
2024-05-13,61451.219,63422.66,60769.84,62901.449,27889181179.0,,,,,62901.449,0,,0.0,Neutral
2024-05-14,62900.773,63092.125,61123.766,61552.789,28186271527.0,,,,,61552.789,0,,0.0,Neutral
2024-05-15,61553.988,66454.453,61330.41,66267.492,39815167074.0,,,,,66267.492,0,,0.0,Neutral
2024-05-16,66256.109,66712.43,64613.055,65231.582,31573077994.0,,,,,65231.582,0,,0.0,Neutral
2024-05-17,65231.297,67459.461,65119.316,67051.875,28031279310.0,,,,,67051.875,0,,0.0,Neutral
2024-05-18,67066.211,67387.328,66663.5,66940.805,16712277406.0,,,,,66940.805,0,,0.0,Neutral
2024-05-19,66937.93,67694.297,65937.18,66278.367,19249094538.0,,,,,66278.367,0,,0.0,Neutral
2024-05-20,66278.742,71483.562,66086.172,71448.195,43850655717.0,66058.082,,,,71448.195,0,,0.0,Neutral
2024-05-21,71443.062,71946.461,69191.125,70136.531,46932005990.0,66358.15,,,,70136.531,0,,0.0,Neutral
2024-05-22,70135.32,70623.695,68977.695,69122.336,32802561717.0,66535.114,,,,69122.336,0,,0.0,Neutral
2024-05-23,69121.305,70041.273,66356.953,67929.562,41895680979.0,66638.435,,,,67929.562,0,,0.0,Neutral
2024-05-24,67928.133,69220.297,66622.672,68526.102,29197308153.0,68279.758,,,,68526.102,0,,0.0,Neutral
2024-05-25,68526.922,69579.32,68515.82,69265.945,15473071741.0,68532.889,,,,69265.945,0,,0.0,Neutral
2024-05-26,69264.289,69506.227,68183.891,68518.094,15628433737.0,68941.821,,,,68518.094,0,,0.0,Neutral
2024-05-27,68512.18,70597.883,68232.5,69394.555,25870990717.0,68941.821,,,,69394.555,0,,0.0,Neutral
2024-05-28,69392.195,69514.641,67227.156,68296.219,32722265965.0,69016.317,,,,68296.219,0,,0.0,Neutral
2024-05-29,68296.352,68852.461,67101.492,67578.094,26707072906.0,69151.707,,,,67578.094,0,,0.0,Neutral
2024-05-30,67576.086,69500.539,67118.078,68364.992,29509712534.0,68490.324,,,,68364.992,0,,0.0,Neutral
2024-05-31,68362.516,68999.562,66633.422,67491.414,27387283769.0,68477.418,,,,67491.414,0,,0.0,Neutral
2024-06-01,67489.609,67839.766,67386.195,67706.938,11641495604.0,68610.277,,,,67706.938,0,,0.0,Neutral
2024-06-02,67710.273,68409.164,67315.523,67751.602,17110588415.0,68615.652,,,,67751.602,0,,0.0,Neutral
2024-06-03,67753.898,70230.82,67589.836,68804.781,32401285324.0,68615.652,,,,68804.781,0,,0.0,Neutral
2024-06-04,68804.57,71047.406,68564.641,70567.766,33149696545.0,68840.414,,,,70567.766,0,,0.0,Neutral
2024-06-05,70568.352,71735.414,70390.711,71082.82,32810771409.0,69184.418,,,,71082.82,0,,0.0,Neutral
2024-06-06,71082.844,71625.734,70119.125,70757.164,25223152007.0,69184.418,66289.531,67736.975,,70757.164,0,,0.0,Neutral
2024-06-07,70759.188,71907.852,68507.258,69342.586,36188381096.0,69270.637,66358.15,67814.394,,69342.586,0,,0.0,Neutral
2024-06-08,69324.18,69533.32,69210.742,69305.773,14262185861.0,69270.637,66535.114,67902.875,,69305.773,0,,0.0,Neutral
2024-06-09,69297.492,69817.523,69160.844,69647.992,13534028500.0,69611.688,66638.435,68125.061,,69647.992,0,,0.0,Neutral
2024-06-10,69644.312,70146.07,69232.422,69512.281,20597699541.0,69611.688,68279.758,68945.723,,69512.281,0,,0.0,Neutral
2024-06-11,69508.078,69549.414,66123.602,67332.031,37116136345.0,69015.727,68532.889,68774.308,,67332.031,0,,0.0,Neutral
2024-06-12,67321.375,69977.891,66902.453,68241.188,34497940694.0,69015.727,68941.821,68978.774,,68241.188,0,,0.0,Neutral
2024-06-13,68243.102,68365.781,66304.562,66756.398,28955204146.0,69015.727,68941.821,68978.774,,66756.398,0,,0.0,Neutral
2024-06-14,66747.57,67294.648,65056.895,66011.094,27403884779.0,68482.374,68501.678,68492.026,,66011.094,0,,0.0,Neutral
2024-06-15,66006.742,66402.188,65871.773,66191.0,14121265576.0,68482.374,68501.678,68492.026,,66191.0,0,,0.0,Neutral
2024-06-16,66189.359,66894.844,66018.25,66639.047,13281140541.0,67601.482,68482.374,68041.928,,66639.047,0,,0.0,Neutral
2024-06-17,66636.516,67188.32,65094.965,66490.297,30006354476.0,67601.482,68482.374,68041.928,,66490.297,0,,0.0,Neutral
2024-06-18,66490.977,66556.703,64066.957,65140.746,39481285950.0,67106.514,67987.405,67546.959,,65140.746,0,,0.0,Neutral
2024-06-19,65146.66,65695.352,64693.301,64960.297,21103423504.0,67022.424,67987.405,67504.914,,64960.297,0,,0.0,Neutral
2024-06-20,64960.297,66438.961,64547.848,64828.656,25641109124.0,67022.424,67987.405,67504.914,,64828.656,0,,0.0,Neutral
2024-06-21,64837.988,65007.547,63378.895,64096.199,26188171739.0,65872.338,67643.374,66757.856,,64096.199,0,,0.0,Neutral
2024-06-22,64113.863,64475.469,63929.758,64252.578,9858198793.0,65336.772,67643.374,66490.073,,64252.578,0,,0.0,Neutral
2024-06-23,64248.965,64491.703,63180.797,63180.797,11170471802.0,65184.558,67544.325,66364.442,,63180.797,0,,0.0,Neutral
2024-06-24,63173.352,63292.527,58601.699,60277.414,43152133651.0,62895.01,65254.776,64074.893,,60277.414,0,,0.0,Neutral
2024-06-25,60266.281,62258.262,60239.75,61804.641,29201215431.0,62895.01,65254.776,64074.893,,61804.641,0,,0.0,Neutral
2024-06-26,61789.676,62434.137,60695.188,60811.277,22506003064.0,62579.201,65254.776,63916.988,,60811.277,0,,0.0,Neutral
2024-06-27,60811.227,62293.863,60585.332,61604.801,21231745045.0,62520.33,65254.776,63887.553,,61604.801,0,,0.0,Neutral
2024-06-28,61612.805,62126.098,59985.402,60320.137,24952866877.0,62520.33,65254.776,63887.553,,60320.137,0,,0.0,Neutral
2024-06-29,60319.875,61097.621,60300.965,60887.379,12652903396.0,61804.623,65254.776,63529.699,,60887.379,0,,0.0,Neutral
2024-06-30,60888.445,62892.828,60632.949,62678.293,17333226409.0,61546.701,65254.776,63400.738,,62678.293,0,,0.0,Neutral
2024-07-01,62673.605,63777.227,62495.512,62851.98,25468379421.0,61546.701,65254.776,63400.738,,62851.98,0,,0.0,Neutral
2024-07-02,62844.41,63203.359,61752.746,62029.016,20151616992.0,61189.463,65254.776,63222.119,65274.08,62029.016,0,,0.0,Neutral
2024-07-03,62034.332,62187.703,59419.387,60173.922,29756701685.0,61598.307,64373.885,62986.096,65274.08,60173.922,0,,0.0,Neutral
2024-07-04,60147.137,60399.676,56777.805,56977.703,41149609230.0,60277.516,63461.938,61869.727,64362.133,56977.703,0,,0.0,Neutral
2024-07-05,57022.809,57497.152,53717.375,56662.375,55417544033.0,58747.301,61931.723,60339.512,62831.918,56662.375,0,,0.0,Neutral
2024-07-06,56659.074,58472.547,56038.961,58303.539,20610320577.0,58747.301,61847.633,60297.467,62831.918,58303.539,0,,0.0,Neutral
2024-07-07,58239.43,58371.121,55793.324,55849.109,20553359505.0,58747.301,61847.633,60297.467,62831.918,55849.109,0,,0.0,Neutral
2024-07-08,55849.574,58131.336,54321.02,56705.098,39766159899.0,58747.301,61041.578,59894.44,62831.918,56705.098,0,,0.0,Neutral
2024-07-09,56704.598,58239.195,56316.875,58009.227,27849512607.0,58747.301,60506.012,59626.656,62831.918,58009.227,0,,0.0,Neutral
2024-07-10,58033.883,59359.434,57178.414,57742.496,26175260526.0,58460.367,60452.848,59456.607,62831.918,57742.496,0,,0.0,Neutral
2024-07-11,57729.891,59299.434,57120.379,57344.914,28707803842.0,57952.539,60452.848,59202.693,62831.918,57344.914,0,,0.0,Neutral
2024-07-12,57341.195,58532.555,56590.176,57899.465,25604805221.0,57058.526,60452.848,58755.687,62812.613,57899.465,0,,0.0,Neutral
2024-07-13,57908.738,59787.078,57796.441,59231.953,17080061806.0,56752.227,60137.039,58444.633,62812.613,59231.953,0,58444.633,0.0,Neutral
2024-07-14,59225.25,61329.527,59225.25,60787.793,22223416061.0,57825.273,60078.168,58951.721,62812.613,60787.793,0,58444.633,0.0,Neutral
2024-07-15,60815.457,64870.152,60704.93,64870.152,38094526099.0,59595.586,60078.168,59836.877,62812.613,64870.152,0,58444.633,0.0,Neutral
2024-07-16,64784.418,65354.34,62487.969,65097.148,41617346768.0,59837.68,59535.857,59686.769,62812.613,65097.148,0,58444.633,0.0,Neutral
2024-07-17,65091.832,66066.734,63896.086,64118.793,32525071311.0,61191.804,59892.054,60541.929,62812.613,64118.793,0,58444.633,0.0,Neutral
2024-07-18,64104.738,65104.66,63246.164,63974.066,27239305337.0,61328.455,59892.054,60610.255,62812.613,63974.066,0,58444.633,0.0,Neutral
2024-07-19,63972.324,67442.641,63329.344,66710.156,37003855410.0,62016.409,60580.008,61298.208,62812.613,66710.156,0,58444.633,0.0,Neutral
2024-07-20,66709.922,67610.734,66299.617,67163.648,19029581250.0,62100.455,60664.054,61382.255,62812.613,67163.648,0,58444.633,0.0,Neutral
2024-07-21,67164.914,68372.906,65842.297,68154.523,26652190004.0,63084.674,61045.141,62064.907,62812.613,68154.523,0,58444.633,0.0,Neutral
2024-07-22,68152.977,68480.062,66611.297,67585.25,42649109453.0,63852.656,61098.719,62475.687,62812.613,67585.25,0,58444.633,0.0,Neutral
2024-07-23,67584.805,67779.016,65484.461,65927.672,35605668666.0,64592.496,61098.719,62845.607,62812.613,65927.672,1,58444.633,0.0,Neutral
2024-07-24,65927.859,67113.984,65146.996,65372.133,27470942309.0,65484.016,61098.719,63291.367,62812.613,65372.133,0,58444.633,0.0,Neutral
2024-07-25,65375.875,66112.422,63473.473,65777.227,38315761670.0,65863.113,61098.719,63480.916,62812.613,65777.227,0,58444.633,0.0,Neutral
2024-07-26,65771.812,68207.602,65743.766,67912.062,30488630457.0,65863.113,61098.719,63480.916,62812.613,67912.062,0,58444.633,0.0,Neutral
2024-07-27,67911.812,69398.508,66705.219,67813.336,34691905492.0,66363.926,61557.942,63960.934,62812.613,67813.336,0,58444.633,0.0,Neutral
2024-07-28,67808.656,68301.852,67085.828,68255.867,18043166945.0,66435.99,61557.942,63996.966,62812.613,68255.867,0,58444.633,0.0,Neutral
2024-07-29,68259.055,69987.539,66532.594,66819.914,40780682628.0,66730.506,61852.457,64291.481,61931.723,66819.914,0,58444.633,0.0,Neutral
2024-07-30,66819.055,66987.672,65323.191,66201.016,31380492109.0,66730.506,61852.457,64291.481,61931.723,66201.016,0,58444.633,0.0,Neutral
2024-07-31,66201.273,66810.211,64532.047,64619.25,31292785994.0,66730.506,62154.28,64442.393,61931.723,64619.25,0,64442.393,58444.633,Neutral
2024-08-01,64625.84,65593.242,62248.941,65357.5,40975554494.0,66118.24,62154.28,64136.26,61852.457,65357.5,0,64442.393,58444.633,Neutral
2024-08-02,65353.5,65523.223,61184.895,61415.066,43060875727.0,65586.217,62154.28,63870.248,61852.457,61415.066,0,64442.393,58444.633,Neutral
2024-08-03,61414.809,62148.371,59836.527,60680.094,31753030589.0,64912.033,63152.207,64032.12,61852.457,60680.094,0,64442.393,58444.633,Neutral
2024-08-04,60676.094,61062.988,57210.805,58116.977,31758917219.0,63599.172,63288.857,63444.015,61852.457,58116.977,0,64442.393,58444.633,Neutral
2024-08-05,58110.297,58268.828,49121.238,53991.457,108991085584.0,59554.389,59554.389,59554.389,59554.389,53991.457,0,64442.393,58444.633,Neutral
2024-08-06,53991.348,57059.918,53973.273,56034.316,49300484106.0,59554.389,59554.389,59554.389,59554.389,56034.316,0,64442.393,58444.633,Neutral
2024-08-07,56040.633,57726.883,54620.508,55027.461,41637562185.0,58054.455,59554.389,58804.422,59554.389,55027.461,0,64442.393,58444.633,Neutral
2024-08-08,55030.027,62673.766,54766.727,61710.137,45298472567.0,57965.724,59554.389,58760.056,59554.389,61710.137,0,64442.393,58444.633,Neutral
2024-08-09,61728.207,61751.863,59587.859,60880.113,33425553115.0,57357.24,59554.389,58455.814,59554.389,60880.113,0,64442.393,58444.633,Neutral
2024-08-10,60881.23,61464.512,60287.566,60945.812,15745822278.0,57322.23,59554.389,58438.31,59554.389,60945.812,0,64442.393,58444.633,Neutral
2024-08-11,60944.891,61778.66,58348.824,58719.484,22759754812.0,55897.502,59554.389,57725.945,59554.389,58719.484,0,64442.393,58444.633,Neutral
2024-08-12,58719.395,60680.332,57688.898,59354.516,37078637820.0,55897.502,59554.389,57725.945,59554.389,59354.516,0,64442.393,58444.633,Neutral
2024-08-13,59356.207,61572.398,58506.254,60609.566,30327698167.0,55897.502,59554.389,57725.945,59554.389,60609.566,0,64442.393,58444.633,Neutral
2024-08-14,60611.051,61687.758,58472.875,58737.27,29961696180.0,58323.52,59554.389,58938.954,59554.389,58737.27,0,64442.393,58444.633,Neutral
2024-08-15,58733.262,59838.648,56161.594,57560.098,35682112440.0,58647.137,59554.389,59100.763,59554.389,57560.098,0,64442.393,58444.633,Neutral
2024-08-16,57560.273,59847.359,57110.02,58894.105,29350938673.0,58720.247,59554.389,59137.318,59554.389,58894.105,0,64442.393,58444.633,Neutral
2024-08-17,58893.531,59694.668,58814.832,59478.973,13589684021.0,58970.127,59554.389,59262.258,59554.389,59478.973,0,64442.393,58444.633,Neutral
2024-08-18,59468.133,60262.719,58445.402,58483.965,17740625837.0,58970.127,59554.389,59262.258,59554.389,58483.965,0,64442.393,58444.633,Neutral
2024-08-19,58480.711,59612.66,57864.711,59493.453,25911207712.0,58970.127,59554.389,59262.258,59554.389,59493.453,0,64442.393,58444.633,Neutral
2024-08-20,59493.453,61396.328,58610.883,59012.793,31613400008.0,58924.676,59554.389,59239.532,59554.389,59012.793,0,64442.393,58444.633,Neutral
2024-08-21,59014.988,61834.352,58823.445,61175.191,32731154072.0,58997.973,59554.389,59276.181,59554.389,61175.191,0,64442.393,58444.633,Neutral
2024-08-22,61168.316,61408.109,59815.254,60381.914,27625734377.0,58997.973,59554.389,59276.181,59554.389,60381.914,0,64442.393,58444.633,Neutral
2024-08-23,60380.953,64947.062,60372.051,64094.355,42530509233.0,60554.328,59554.389,60054.358,59554.389,64094.355,1,60054.358,64442.393,Neutral
2024-08-24,64103.871,64513.789,63619.918,64178.992,21430585163.0,61028.541,58054.455,59541.498,59554.389,64178.992,-1,59541.498,60054.358,Neutral
2024-08-25,64176.367,64996.422,63833.52,64333.543,18827683555.0,61430.567,57965.724,59698.145,59554.389,64333.543,1,59698.145,59541.498,Neutral
2024-08-26,64342.227,64489.707,62849.559,62880.66,27682040631.0,61430.567,57357.24,59393.903,59554.389,62880.66,-1,59393.903,59698.145,Neutral
2024-08-27,62879.707,63210.797,58116.75,59504.133,39103882198.0,61430.567,57322.23,59376.398,59554.389,59504.133,0,59393.903,59698.145,Neutral
2024-08-28,59507.926,60236.449,57890.676,59027.625,40289564698.0,61443.549,57058.83,59251.19,59554.389,59027.625,0,59393.903,59698.145,Neutral
2024-08-29,59027.469,61184.082,58786.227,59388.18,32224990582.0,61443.549,57058.83,59251.19,59554.389,59388.18,0,59393.903,59698.145,Neutral
2024-08-30,59388.602,59896.887,57768.531,59119.477,32292756405.0,61382.477,57058.83,59220.653,59554.389,59119.477,0,59393.903,59698.145,Neutral
2024-08-31,59117.48,59432.594,58768.785,58969.898,12403470760.0,61382.477,59484.848,60433.662,59554.389,58969.898,1,59393.903,59698.145,Neutral
2024-09-01,58969.801,59062.07,57217.824,57325.488,24592449997.0,61107.123,59808.465,60457.794,59554.389,57325.488,0,59393.903,59698.145,Bullish
2024-09-02,57326.969,59403.07,57136.027,59112.48,27036454524.0,61066.224,59881.575,60473.899,59554.389,59112.48,0,59393.903,59698.145,Bullish
2024-09-03,59106.191,59815.059,57425.168,57431.023,26666961053.0,60812.867,60579.008,60695.938,59554.389,57431.023,0,59393.903,59698.145,Bullish
2024-09-04,57430.348,58511.57,55673.164,57971.539,35627680312.0,59441.98,60334.793,59888.387,59554.389,57971.539,0,59888.387,59393.903,Neutral
2024-09-05,57971.703,58300.582,55712.453,56160.488,31030280656.0,58428.623,60334.793,59381.708,59554.389,56160.488,-1,59381.708,59888.387,Neutral
2024-09-06,56160.191,56976.109,52598.699,53948.754,49361693566.0,56891.391,58797.56,57844.476,59554.389,53948.754,0,59381.708,59888.387,Neutral
2024-09-07,53949.086,54838.145,53740.07,54139.688,19061486526.0,56247.793,58797.56,57522.677,59554.389,54139.688,0,59381.708,59888.387,Neutral
2024-09-08,54147.934,55300.859,53653.758,54841.566,18268287531.0,56206.879,58797.56,57502.22,59554.389,54841.566,0,59381.708,59888.387,Neutral
2024-09-09,54851.887,58041.125,54598.434,57019.535,34618096173.0,56206.879,58797.56,57502.22,59554.389,57019.535,0,59381.708,59888.387,Neutral
2024-09-10,57020.098,58029.977,56419.414,57648.711,28857630507.0,56206.879,58797.56,57502.22,59554.389,57648.711,0,59381.708,59888.387,Neutral
2024-09-11,57650.289,57991.32,55567.34,57343.172,37049062672.0,56206.879,58797.56,57502.22,59554.389,57343.172,0,59381.708,59888.387,Neutral
2024-09-12,57343.172,58534.359,57330.102,58127.012,33835707949.0,55566.529,58797.56,57182.045,59554.389,58127.012,0,59381.708,59888.387,Neutral
2024-09-13,58130.324,60648.023,57650.113,60571.301,32490528356.0,56623.361,58797.56,57710.461,59554.389,60571.301,0,59381.708,59888.387,Neutral
2024-09-14,60569.117,60656.723,59517.883,60005.121,16428405496.0,56627.711,58797.56,57712.636,59554.389,60005.121,0,59381.708,59888.387,Neutral
2024-09-15,60000.727,60381.918,58696.309,59182.836,18120960867.0,57155.24,58797.56,57976.401,59554.389,59182.836,0,59381.708,59888.387,Neutral
2024-09-16,59185.227,59205.512,57501.34,58192.508,32032822113.0,57155.24,58797.56,57976.401,59554.389,58192.508,0,59381.708,59888.387,Neutral
2024-09-17,58192.508,61316.09,57628.07,60308.539,38075570118.0,57957.262,58797.56,58377.411,59554.389,60308.539,0,59381.708,59888.387,Neutral
2024-09-18,60309.0,61664.066,59218.254,61649.68,40990702891.0,58615.703,58797.56,58706.632,59554.389,61649.68,0,59381.708,59888.387,Neutral
2024-09-19,61651.156,63872.441,61609.867,62940.457,42710252573.0,59719.89,58797.56,59258.726,58054.455,62940.457,1,59258.726,59381.708,Neutral
